date,latitude,longitude,site,source,chl,chl_field,tss,turb,cond,ph,temp,do,do_sat,doc,poc,toc,tn,tdn,ton,don,pon,no3,nh3,tp,tdp,pp,po4,npr,cnr,cpr,pnpr,pcnr,pcpr,si,cl
2010-03-30,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,,,3.2,13.1,117,7,5.07,12.31,,,,,,,,,,0.7,,0.02,,,,,,,,,,,15.3
2010-05-03,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,,,4.7,7.9,190,7.13,13.76,7.67,,,,,,,,,,0.1,,0.01,,,,,,,,,,,10.700000000000001
2010-06-07,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,,,36,6.9,202,8,19.79,9.1,,,,,,,,,,0.3,,0.02,,,,,,,,,,,14.4
2010-06-27,46.58182,-90.40627,NGL_MI-10017,NCCA,1.39,,,,82.375,8.02375,16.3875,10.675,,,,,0.438125,,,,,0.319,0.003,0.006830375,,,0.002,64.1436231539264,,,,,,,
2010-07-01,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,,,11.6,89.4,102,7.12,19.98,7.23,,,,,,,,,,0.8,,0.01,,,,,,,,,,,9.5
2010-07-23,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,,,7,82.5,143,7.5,23.52,8.14,,,,,,,,,,0.1,,0.01,,,,,,,,,,,14
2010-08-09,46.6012,-90.55677,NCCAGL10-2020,NCCA,0.64,,,2.9,100.625,8.0725,23.45,9.825,,,,,0.295,,,,,0.295,0.0075,0.0033,,,0.001,89.39393939393939,,,,,,,
2010-08-09,46.61599,-90.55219,NCCAGL10-1044,NCCA,0.46,,,3.4499999999999997,100.1125,8.08125,23.375,9.825000000000001,,,,,0.502,,,,,0.312,0.0075,0.0025,,,0.001,200.79999999999998,,,,,,,
2010-08-10,46.60828,-90.92362,WIDNR_WQX-10012247,WIDNR_WQX,,,,,,,,,,,,,,,,,,,,,,,0.0038,,,,,,,,
2010-08-10,46.6634,-90.8728,WIDNR_WQX-10012254,WIDNR_WQX,,,,,,,,,,,,,,,,,,,,,,,0.0024,,,,,,,,
2010-08-10,46.69796,-90.69431,NCCAGL10-2041,NCCA,0.74,,,2.45,101.825,7.975,22.6,9.375,,,,,0.457,,,,,0.297,0.0075,0.0024,,,0.001,190.41666666666669,,,,,,,
2010-08-10,46.73293,-90.83918,NCCAGL10-2011,NCCA,0.47,,,2.0375,102.125,8.215,23.1625,9.44875,,,,,0.438,,,,,0.258,0.0075,0.0019,,,0.001,230.52631578947367,,,,,,,
2010-08-11,46.63066,-90.87762,NCCAGL10-2003,NCCA,2.02,,,4.0625,104.5375,8.43125,24.1125,9.4,,,,,0.439,,,,,0.219,0.0075,0.004,,,0.001,109.75,,,,,,,
2010-08-11,46.65258,-90.7677,WIDNR_WQX-10028967,WIDNR_WQX,,,,,,,,,,,,,,,,,,,,,,,0.0054,,,,,,,,
2010-08-11,46.67285,-90.81703,NGL_WI-10003,NCCA,1.28,,,2.575,103.9875,8.37,23.8,9.3125,,,,,0.208,,,,,0.208,0.0075,0.0032,,,0.001,65,,,,,,,
2010-08-11,46.67827,-90.78114,NCCAGL10-1033,NCCA,1.16,,,2.4375,103.2625,8.4125,24.1875,9.2,,,,,0.4,,,,,0.19,0.0075,0.0032,,,0.001,125,,,,,,,
2010-08-12,46.93473,-90.76734,NCCAGL10-2035,NCCA,0.64,,,2.2,103.35,7.9425,22.675,9.5,,,,,0.477,,,,,0.287,0.0075,0.0022,,,0.001,216.81818181818178,,,,,,,
2010-08-12,46.98338,-90.67437,WIDNR_WQX-10020834,WIDNR_WQX,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,
2010-08-17,46.71677,-91.98975,NCCAGL10-1041,NCCA,0.83,,,3.6875,107.125,7.69875,9.575,12.4375,,,,,0.586,,,,,0.346,0.0075,0.0056,,,0.001,104.64285714285714,,,,,,,
2010-08-18,46.731703,-92.050613,MNPCA-16-0001-00-B003,MNPCA,,,,2.0272,,,10,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,46.752579,-92.071268,MNPCA-16-0001-00-B005,MNPCA,,,,2.9140999999999995,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,46.772091,-92.087535,MNPCA-16-0001-00-B006,MNPCA,,,,2.9140999999999995,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,46.787246,-92.094365,MNPCA-16-0001-00-B008,MNPCA,,,,3.0407999999999995,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,46.796663,-92.081868,MNPCA-16-0001-00-B009,MNPCA,,,,14.3171,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,46.799658,-92.074586,MNPCA-16-0001-00-B038,MNPCA,,,,3.0407999999999995,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,46.820914,-92.03806,MNPCA-16-0001-00-B010,MNPCA,,,,7.4753,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-19,46.72903,-91.7886,NGL_WI-10004,NCCA,0.45,,,0.5,101.3,7.90375,11.6875,12.125,,,,,0.336,,,,,0.336,0.0075,0.0022,,,0.001,152.72727272727272,,,,,,,
2010-08-19,46.7702,-91.62238,NGL_WI-10001,NCCA,0.56,,,1.175,103.35,7.8475,14.287500000000001,11.212499999999999,,,,,0.647,,,,,0.327,0.0075,0.003,,,0.001,215.66666666666666,,,,,,,
2010-08-20,46.796663,-92.081868,MNPCA-16-0001-00-B009,MNPCA,,,,6.5884,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.731703,-92.050613,MNPCA-16-0001-00-B003,MNPCA,,,,6.461699999999999,,,20,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.752579,-92.071268,MNPCA-16-0001-00-B005,MNPCA,,,,6.8418,,,18.9,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.772091,-92.087535,MNPCA-16-0001-00-B006,MNPCA,,,,25.339999999999996,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.787246,-92.094365,MNPCA-16-0001-00-B008,MNPCA,,,,7.2219,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.796663,-92.081868,MNPCA-16-0001-00-B009,MNPCA,,,,4.941299999999999,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.799658,-92.074586,MNPCA-16-0001-00-B038,MNPCA,,,,4.0544,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,46.84314,-91.99234,MNPCA-16-0001-00-B012,MNPCA,,,,2.6607,,,15,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.731703,-92.050613,MNPCA-16-0001-00-B003,MNPCA,,,,1.25433,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.752579,-92.071268,MNPCA-16-0001-00-B005,MNPCA,,,,1.2796699999999999,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.772091,-92.087535,MNPCA-16-0001-00-B006,MNPCA,,,,1.17831,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.787246,-92.094365,MNPCA-16-0001-00-B008,MNPCA,,,,0.83622,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.796663,-92.081868,MNPCA-16-0001-00-B009,MNPCA,,,,0.84889,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.799658,-92.074586,MNPCA-16-0001-00-B038,MNPCA,,,,0.83622,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.820914,-92.03806,MNPCA-16-0001-00-B010,MNPCA,,,,0.7601999999999999,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.83674,-92.00474,MNPCA-16-0001-00-B011,MNPCA,,,,0.9249099999999999,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.84314,-91.99234,MNPCA-16-0001-00-B012,MNPCA,,,,0.8868999999999999,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.899559000000004,-91.892075,MNPCA-16-0001-00-B013,MNPCA,,,,0.70952,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.917584,-91.852537,MNPCA-16-0001-00-B014,MNPCA,,,,0.82355,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,46.927865,-91.813272,MNPCA-16-0001-00-B015,MNPCA,,,,0.70952,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-27,47.24498,-91.31017,NCCAGL10-1031,NCCA,0.54,,,,95.65,7.41875,5.7375,7.3125,,,,,0.48375,,,,,0.385,0.002,0.00287625,,,0.002,168.18774445893092,,,,,,,
2010-08-28,47.14119,-91.45026,NGL_MN-10001,NCCA,0.65,,,,96,7.61125,8.5125,7.525,,,,,0.46125,,,,,0.375,0.001,0.00358875,,,0.004,128.52664576802508,,,,,,,
2010-08-29,46.82414,-92.01785,NCCAGL10-2005,NCCA,0.61,,,,94.1,7.6825,13.8125,7.275,,,,,0.48375,,,,,0.345,0.007,0.005285,,,0.004,91.53263954588459,,,,,,,
